ID da Ordem,Etapa,Modificado por,SLA,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1302534,Em preenchimento,-,-,11/11/2024 11:04,12/11/2024 11:05,-,1.0 dias,-,-,-,-
1302534,Concluído,-,-,12/11/2024 11:05,-,-,-,-,-,-,-
1794062,Em preenchimento,-,-,26/06/2025 10:56,26/06/2025 11:10,-,0.01 dias,-,-,-,-
1794062,Concluído,atendimento@penetron.com.br,-,26/06/2025 11:10,-,-,-,-,-,-,-
1277970,Em preenchimento,-,-,23/10/2024 14:23,29/10/2024 22:10,-,6.32 dias,-,-,-,-
1277970,ChatGPT Finalizado,admin,-,29/10/2024 22:10,29/10/2024 22:30,-,0.01 dias,-,-,-,-
1277970,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1318931,Em preenchimento,-,-,18/11/2024 11:03,18/11/2024 11:05,-,0.0 dias,-,-,-,-
1318931,Aguardando Atendimento,-,-,18/11/2024 11:05,18/11/2024 12:31,-,0.06 dias,-,-,-,-
1318931,Concluído,comercial@penetron.com.br,-,18/11/2024 12:31,-,-,-,-,-,-,-
1318932,Em preenchimento,-,-,18/11/2024 11:04,19/11/2024 11:04,-,1.0 dias,-,-,-,-
1318932,Concluído,-,-,19/11/2024 11:04,-,-,-,-,-,-,-
1277971,Em preenchimento,-,-,23/10/2024 14:23,29/10/2024 22:10,-,6.32 dias,-,-,-,-
1277971,ChatGPT Finalizado,admin,-,29/10/2024 22:10,29/10/2024 22:30,-,0.01 dias,-,-,-,-
1277971,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1835038,Em preenchimento,-,-,16/07/2025 12:29,16/07/2025 14:45,-,0.09 dias,-,-,-,-
1835038,Concluído,atendimento@penetron.com.br,-,16/07/2025 14:45,-,-,-,-,-,-,-
1777697,Em preenchimento,-,-,17/06/2025 16:27,18/06/2025 07:35,-,0.63 dias,-,-,-,-
1777697,Concluído,atendimento@penetron.com.br,-,18/06/2025 07:35,-,-,-,-,-,-,-
1720365,Em preenchimento,-,-,16/05/2025 14:48,16/05/2025 15:56,-,0.05 dias,-,-,-,-
1720365,Concluído,atendimento@penetron.com.br,-,16/05/2025 15:56,-,-,-,-,-,-,-
1277998,Em preenchimento,-,-,23/10/2024 14:43,29/10/2024 22:10,-,6.31 dias,-,-,-,-
1277998,ChatGPT Finalizado,admin,-,29/10/2024 22:10,29/10/2024 22:30,-,0.01 dias,-,-,-,-
1277998,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1278000,Em preenchimento,-,-,23/10/2024 14:43,23/10/2024 14:44,-,0.0 dias,-,-,-,-
1278000,Aguardando Atendimento,-,-,23/10/2024 14:44,23/10/2024 15:41,-,0.04 dias,-,-,-,-
1278000,ChatGPT Finalizado,comercial@penetron.com.br,-,23/10/2024 15:41,29/10/2024 22:30,-,6.28 dias,-,-,-,-
1278000,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1482805,Em preenchimento,-,-,30/01/2025 10:36,30/01/2025 10:37,-,0.0 dias,-,-,-,-
1482805,Aguardando Atendimento,-,-,30/01/2025 10:37,30/01/2025 11:12,-,0.02 dias,-,-,-,-
1482805,Concluído,atendimento@penetron.com.br,-,30/01/2025 11:12,-,-,-,-,-,-,-
1450039,Em preenchimento,-,-,21/01/2025 13:01,21/01/2025 13:02,-,0.0 dias,-,-,-,-
1450039,Aguardando Atendimento,-,-,21/01/2025 13:02,21/01/2025 13:33,-,0.02 dias,-,-,-,-
1450039,Concluído,atendimento@penetron.com.br,-,21/01/2025 13:33,-,-,-,-,-,-,-
1278007,Em preenchimento,-,-,23/10/2024 14:46,23/10/2024 14:48,-,0.0 dias,-,-,-,-
1278007,ChatGPT Finalizado,-,-,23/10/2024 14:48,29/10/2024 22:30,-,6.32 dias,-,-,-,-
1278007,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1450042,Em preenchimento,-,-,21/01/2025 13:03,21/01/2025 13:27,-,0.02 dias,-,-,-,-
1450042,Concluído,atendimento@penetron.com.br,-,21/01/2025 13:27,-,-,-,-,-,-,-
1278012,Em preenchimento,-,-,23/10/2024 14:49,23/10/2024 15:52,-,0.04 dias,-,-,-,-
1278012,ChatGPT Finalizado,comercial@penetron.com.br,-,23/10/2024 15:52,29/10/2024 22:30,-,6.28 dias,-,-,-,-
1278012,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1425469,Em preenchimento,-,-,14/01/2025 13:08,14/01/2025 13:09,-,0.0 dias,-,-,-,-
1425469,Concluído,atendimento@penetron.com.br,-,14/01/2025 13:09,-,-,-,-,-,-,-
1712192,Em preenchimento,-,-,12/05/2025 10:13,12/05/2025 11:12,-,0.04 dias,-,-,-,-
1712192,Concluído,atendimento@penetron.com.br,-,12/05/2025 11:12,-,-,-,-,-,-,-
1278028,Em preenchimento,-,-,23/10/2024 14:56,29/10/2024 22:10,-,6.3 dias,-,-,-,-
1278028,ChatGPT Finalizado,admin,-,29/10/2024 22:10,29/10/2024 22:30,-,0.01 dias,-,-,-,-
1278028,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1777752,Em preenchimento,-,-,17/06/2025 16:49,18/06/2025 08:04,-,0.64 dias,-,-,-,-
1777752,Concluído,atendimento@penetron.com.br,-,18/06/2025 08:04,-,-,-,-,-,-,-
1319019,Em preenchimento,-,-,18/11/2024 11:48,18/11/2024 11:48,-,0.0 dias,-,-,-,-
1319019,ChatGPT Respondendo,-,-,18/11/2024 11:48,05/12/2024 10:32,-,16.95 dias,-,-,-,-
1319019,Concluído,comercial@penetron.com.br,-,05/12/2024 10:32,-,-,-,-,-,-,-
1515632,Em preenchimento,-,-,19/02/2025 11:28,19/02/2025 11:30,-,0.0 dias,-,-,-,-
1515632,Concluído,-,-,19/02/2025 11:30,-,-,-,-,-,-,-
1818747,Em preenchimento,-,-,07/07/2025 10:44,07/07/2025 14:17,-,0.15 dias,-,-,-,-
1818747,Concluído,atendimento@penetron.com.br,-,07/07/2025 14:17,-,-,-,-,-,-,-
1818758,Em preenchimento,-,-,07/07/2025 10:47,07/07/2025 14:17,-,0.15 dias,-,-,-,-
1818758,Concluído,atendimento@penetron.com.br,-,07/07/2025 14:17,-,-,-,-,-,-,-
1581191,Em preenchimento,-,-,24/03/2025 17:09,25/03/2025 10:21,-,0.72 dias,-,-,-,-
1581191,Concluído,atendimento@penetron.com.br,-,25/03/2025 10:21,-,-,-,-,-,-,-
1351814,Em preenchimento,-,-,04/12/2024 11:55,05/12/2024 11:55,-,1.0 dias,-,-,-,-
1351814,Concluído,-,-,05/12/2024 11:55,-,-,-,-,-,-,-
1302664,Em preenchimento,-,-,11/11/2024 11:58,12/11/2024 11:58,-,1.0 dias,-,-,-,-
1302664,Concluído,-,-,12/11/2024 11:58,-,-,-,-,-,-,-
1278090,Em preenchimento,-,-,23/10/2024 15:25,23/10/2024 15:25,-,0.0 dias,-,-,-,-
1278090,Aguardando Atendimento,-,-,23/10/2024 15:25,23/10/2024 15:41,-,0.01 dias,-,-,-,-
1278090,ChatGPT Finalizado,comercial@penetron.com.br,-,23/10/2024 15:41,29/10/2024 22:30,-,6.28 dias,-,-,-,-
1278090,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1843339,Em preenchimento,-,-,18/07/2025 14:19,18/07/2025 14:21,-,0.0 dias,-,-,-,-
1843339,Aguardando Atendimento,-,-,18/07/2025 14:21,18/07/2025 14:55,-,0.02 dias,-,-,-,-
1843339,Concluído,atendimento@penetron.com.br,-,18/07/2025 14:55,-,-,-,-,-,-,-
1278091,Em preenchimento,-,-,23/10/2024 15:25,23/10/2024 15:58,-,0.02 dias,-,-,-,-
1278091,ChatGPT Finalizado,comercial@penetron.com.br,-,23/10/2024 15:58,29/10/2024 22:30,-,6.27 dias,-,-,-,-
1278091,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1556621,Em preenchimento,-,-,13/03/2025 11:14,13/03/2025 16:42,-,0.23 dias,-,-,-,-
1556621,Concluído,atendimento@penetron.com.br,-,13/03/2025 16:42,-,-,-,-,-,-,-
1507473,Em preenchimento,-,-,13/02/2025 09:29,13/02/2025 09:38,-,0.01 dias,-,-,-,-
1507473,Aguardando Atendimento,-,-,13/02/2025 09:38,13/02/2025 10:00,-,0.02 dias,-,-,-,-
1507473,Concluído,atendimento@penetron.com.br,-,13/02/2025 10:00,-,-,-,-,-,-,-
1835174,Em preenchimento,-,-,16/07/2025 13:44,16/07/2025 16:38,-,0.12 dias,-,-,-,-
1835174,Concluído,atendimento@penetron.com.br,-,16/07/2025 16:38,-,-,-,-,-,-,-
1786026,Em preenchimento,-,-,20/06/2025 11:23,20/06/2025 14:34,-,0.13 dias,-,-,-,-
1786026,Concluído,atendimento@penetron.com.br,-,20/06/2025 14:34,-,-,-,-,-,-,-
1720496,Em preenchimento,-,-,16/05/2025 15:41,17/05/2025 15:42,-,1.0 dias,-,-,-,-
1720496,Concluído,-,-,17/05/2025 15:42,-,-,-,-,-,-,-
1278130,Em preenchimento,-,-,23/10/2024 15:41,23/10/2024 15:58,-,0.01 dias,-,-,-,-
1278130,ChatGPT Finalizado,comercial@penetron.com.br,-,23/10/2024 15:58,29/10/2024 22:30,-,6.27 dias,-,-,-,-
1278130,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1515700,Em preenchimento,-,-,19/02/2025 11:59,19/02/2025 12:24,-,0.02 dias,-,-,-,-
1515700,Aguardando Atendimento,-,-,19/02/2025 12:24,19/02/2025 13:42,-,0.05 dias,-,-,-,-
1515700,Concluído,atendimento@penetron.com.br,-,19/02/2025 13:42,-,-,-,-,-,-,-
1679551,Em preenchimento,-,-,28/04/2025 10:01,28/04/2025 10:02,-,0.0 dias,-,-,-,-
1679551,Aguardando Atendimento,-,-,28/04/2025 10:02,28/04/2025 10:11,-,0.01 dias,-,-,-,-
1679551,Concluído,atendimento@penetron.com.br,-,28/04/2025 10:11,-,-,-,-,-,-,-
1507521,Em preenchimento,-,-,13/02/2025 10:01,13/02/2025 10:05,-,0.0 dias,-,-,-,-
1507521,Concluído,atendimento@penetron.com.br,-,13/02/2025 10:05,-,-,-,-,-,-,-
1278154,Em preenchimento,-,-,23/10/2024 15:59,24/10/2024 16:14,-,1.01 dias,-,-,-,-
1278154,Aguardando Atendimento,-,-,24/10/2024 16:14,25/10/2024 15:00,-,0.95 dias,-,-,-,-
1278154,Cancelado,comercial@penetron.com.br,-,25/10/2024 15:00,-,-,-,-,-,-,-
1867979,Em preenchimento,-,-,04/08/2025 12:03,04/08/2025 16:42,-,0.19 dias,-,-,-,-
1867979,Concluído,atendimento@penetron.com.br,-,04/08/2025 16:42,-,-,-,-,-,-,-
1851595,Em preenchimento,-,-,23/07/2025 11:36,23/07/2025 15:01,-,0.14 dias,-,-,-,-
1851595,Concluído,atendimento@penetron.com.br,-,23/07/2025 15:01,-,-,-,-,-,-,-
1753298,Em preenchimento,-,-,03/06/2025 10:42,03/06/2025 10:49,-,0.01 dias,-,-,-,-
1753298,Concluído,atendimento@penetron.com.br,-,03/06/2025 10:49,-,-,-,-,-,-,-
1704149,Em preenchimento,-,-,07/05/2025 07:28,07/05/2025 07:28,-,0.0 dias,-,-,-,-
1704149,Aguardando Atendimento,-,-,07/05/2025 07:28,07/05/2025 07:53,-,0.02 dias,-,-,-,-
1704149,Concluído,atendimento@penetron.com.br,-,07/05/2025 07:53,-,-,-,-,-,-,-
1655004,Em preenchimento,-,-,15/04/2025 15:37,15/04/2025 16:56,-,0.05 dias,-,-,-,-
1655004,Concluído,atendimento@penetron.com.br,-,15/04/2025 16:56,-,-,-,-,-,-,-
1827048,Em preenchimento,-,-,11/07/2025 10:56,11/07/2025 14:55,-,0.17 dias,-,-,-,-
1827048,Aguardando Atendimento,atendimento@penetron.com.br,-,11/07/2025 14:55,11/07/2025 15:09,-,0.01 dias,-,-,-,-
1827048,Concluído,atendimento@penetron.com.br,-,11/07/2025 15:09,-,-,-,-,-,-,-
1687786,Em preenchimento,-,-,30/04/2025 10:31,30/04/2025 10:31,-,0.0 dias,-,-,-,-
1687786,Aguardando Atendimento,-,-,30/04/2025 10:31,30/04/2025 11:07,-,0.02 dias,-,-,-,-
1687786,Concluído,atendimento@penetron.com.br,-,30/04/2025 11:07,-,-,-,-,-,-,-
1851649,Em preenchimento,-,-,23/07/2025 12:00,23/07/2025 13:55,-,0.08 dias,-,-,-,-
1851649,Concluído,atendimento@penetron.com.br,-,23/07/2025 13:55,-,-,-,-,-,-,-
1614081,Em preenchimento,-,-,03/04/2025 15:01,03/04/2025 15:02,-,0.0 dias,-,-,-,-
1614081,Aguardando Atendimento,-,-,03/04/2025 15:02,03/04/2025 15:24,-,0.02 dias,-,-,-,-
1614081,Cancelado,admin-ale,-,03/04/2025 15:24,-,-,-,-,-,-,-
1286408,Em preenchimento,-,-,30/10/2024 14:25,30/10/2024 14:25,-,0.0 dias,-,-,-,-
1286408,ChatGPT Respondendo,-,-,30/10/2024 14:25,05/11/2024 10:40,-,5.84 dias,-,-,-,-
1286408,Concluído,comercial@penetron.com.br,-,05/11/2024 10:40,-,-,-,-,-,-,-
1704203,Em preenchimento,-,-,07/05/2025 08:49,07/05/2025 11:35,-,0.12 dias,-,-,-,-
1704203,Concluído,atendimento@penetron.com.br,-,07/05/2025 11:35,-,-,-,-,-,-,-
1802513,Em preenchimento,-,-,30/06/2025 12:53,30/06/2025 12:55,-,0.0 dias,-,-,-,-
1802513,Concluído,-,-,30/06/2025 12:55,-,-,-,-,-,-,-
1351956,Em preenchimento,-,-,04/12/2024 13:49,04/12/2024 13:50,-,0.0 dias,-,-,-,-
1351956,Aguardando Atendimento,-,-,04/12/2024 13:50,05/12/2024 09:01,-,0.8 dias,-,-,-,-
1351956,Concluído,comercial@penetron.com.br,-,05/12/2024 09:01,-,-,-,-,-,-,-
1851670,Em preenchimento,-,-,23/07/2025 12:14,23/07/2025 12:16,-,0.0 dias,-,-,-,-
1851670,Aguardando Atendimento,-,-,23/07/2025 12:16,23/07/2025 13:48,-,0.06 dias,-,-,-,-
1851670,Concluído,atendimento@penetron.com.br,-,23/07/2025 13:48,-,-,-,-,-,-,-
1319191,Em preenchimento,-,-,18/11/2024 13:32,18/11/2024 13:32,-,0.0 dias,-,-,-,-
1319191,Aguardando Atendimento,-,-,18/11/2024 13:32,19/11/2024 12:21,-,0.95 dias,-,-,-,-
1319191,Concluído,comercial@penetron.com.br,-,19/11/2024 12:21,-,-,-,-,-,-,-
1655064,Em preenchimento,-,-,15/04/2025 15:44,15/04/2025 16:34,-,0.03 dias,-,-,-,-
1655064,Concluído,atendimento@penetron.com.br,-,15/04/2025 16:34,-,-,-,-,-,-,-
1278267,Em preenchimento,-,-,23/10/2024 16:55,29/10/2024 22:10,-,6.22 dias,-,-,-,-
1278267,ChatGPT Finalizado,admin,-,29/10/2024 22:10,29/10/2024 22:30,-,0.01 dias,-,-,-,-
1278267,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1278268,Em preenchimento,-,-,23/10/2024 16:55,24/10/2024 17:10,-,1.01 dias,-,-,-,-
1278268,ChatGPT Finalizado,-,-,24/10/2024 17:10,29/10/2024 22:30,-,5.22 dias,-,-,-,-
1278268,Concluído,admin,-,29/10/2024 22:30,-,-,-,-,-,-,-
1605953,Em preenchimento,-,-,01/04/2025 15:55,01/04/2025 16:05,-,0.01 dias,-,-,-,-
1605953,Concluído,atendimento@penetron.com.br,-,01/04/2025 16:05,-,-,-,-,-,-,-
1696079,Em preenchimento,-,-,02/05/2025 15:42,03/05/2025 15:42,-,1.0 dias,-,-,-,-
1696079,Concluído,-,-,03/05/2025 15:42,-,-,-,-,-,-,-
1302864,Em preenchimento,-,-,11/11/2024 13:32,11/11/2024 13:41,-,0.01 dias,-,-,-,-
1302864,Aguardando Atendimento,-,-,11/11/2024 13:41,13/11/2024 12:42,-,1.96 dias,-,-,-,-
1302864,Concluído,comercial@penetron.com.br,-,13/11/2024 12:42,-,-,-,-,-,-,-
1786197,Em preenchimento,-,-,20/06/2025 12:49,20/06/2025 12:51,-,0.0 dias,-,-,-,-
1786197,Concluído,-,-,20/06/2025 12:51,-,-,-,-,-,-,-
1851741,Em preenchimento,-,-,23/07/2025 12:52,23/07/2025 12:56,-,0.0 dias,-,-,-,-
1851741,Concluído,-,-,23/07/2025 12:56,-,-,-,-,-,-,-
1786206,Em preenchimento,-,-,20/06/2025 12:55,20/06/2025 13:00,-,0.0 dias,-,-,-,-
1786206,Concluído,-,-,20/06/2025 13:00,-,-,-,-,-,-,-
1515908,Em preenchimento,-,-,19/02/2025 13:50,19/02/2025 14:13,-,0.02 dias,-,-,-,-
1515908,Concluído,atendimento@penetron.com.br,-,19/02/2025 14:13,-,-,-,-,-,-,-
1302916,Em preenchimento,-,-,11/11/2024 14:03,11/11/2024 14:04,-,0.0 dias,-,-,-,-
1302916,Concluído,-,-,11/11/2024 14:04,-,-,-,-,-,-,-
1696137,Em preenchimento,-,-,02/05/2025 16:14,02/05/2025 16:15,-,0.0 dias,-,-,-,-
1696137,Aguardando Atendimento,-,-,02/05/2025 16:15,05/05/2025 07:27,-,2.63 dias,-,-,-,-
1696137,Concluído,atendimento@penetron.com.br,-,05/05/2025 07:27,-,-,-,-,-,-,-
1851787,Em preenchimento,-,-,23/07/2025 13:24,23/07/2025 16:39,-,0.14 dias,-,-,-,-
1851787,Concluído,atendimento@penetron.com.br,-,23/07/2025 16:39,-,-,-,-,-,-,-
1286540,Em preenchimento,-,-,30/10/2024 15:55,30/10/2024 15:55,-,0.0 dias,-,-,-,-
1286540,ChatGPT Respondendo,-,-,30/10/2024 15:55,31/10/2024 15:55,-,1.0 dias,-,-,-,-
1286540,Concluído,comercial@penetron.com.br,-,31/10/2024 15:55,-,-,-,-,-,-,-
1819024,Em preenchimento,-,-,07/07/2025 13:23,07/07/2025 13:25,-,0.0 dias,-,-,-,-
1819024,Concluído,-,-,07/07/2025 13:25,-,-,-,-,-,-,-
1286544,Em preenchimento,-,-,30/10/2024 15:58,30/10/2024 15:58,-,0.0 dias,-,-,-,-
1286544,ChatGPT Respondendo,-,-,30/10/2024 15:58,31/10/2024 13:58,-,0.92 dias,-,-,-,-
1286544,Concluído,comercial@penetron.com.br,-,31/10/2024 13:58,-,-,-,-,-,-,-
1827230,Em preenchimento,-,-,11/07/2025 11:29,11/07/2025 11:30,-,0.0 dias,-,-,-,-
1827230,Aguardando Atendimento,-,-,11/07/2025 11:30,11/07/2025 13:46,-,0.09 dias,-,-,-,-
1827230,Concluído,atendimento@penetron.com.br,-,11/07/2025 13:46,-,-,-,-,-,-,-
1769906,Em preenchimento,-,-,11/06/2025 11:12,11/06/2025 15:30,-,0.18 dias,-,-,-,-
1769906,Concluído,atendimento@penetron.com.br,-,11/06/2025 15:30,-,-,-,-,-,-,-
1851835,Em preenchimento,-,-,23/07/2025 13:47,23/07/2025 14:09,-,0.02 dias,-,-,-,-
1851835,Concluído,atendimento@penetron.com.br,-,23/07/2025 14:09,-,-,-,-,-,-,-
1827262,Em preenchimento,-,-,11/07/2025 11:42,11/07/2025 11:44,-,0.0 dias,-,-,-,-
1827262,Aguardando Atendimento,-,-,11/07/2025 11:44,11/07/2025 13:44,-,0.08 dias,-,-,-,-
1827262,Concluído,atendimento@penetron.com.br,-,11/07/2025 13:44,-,-,-,-,-,-,-
1376721,Em preenchimento,-,-,18/12/2024 14:15,19/12/2024 14:15,-,1.0 dias,-,-,-,-
1376721,Concluído,-,-,19/12/2024 14:15,-,-,-,-,-,-,-
1835494,Em preenchimento,-,-,16/07/2025 15:35,17/07/2025 08:08,-,0.69 dias,-,-,-,-
1835494,Concluído,atendimento@penetron.com.br,-,17/07/2025 08:08,-,-,-,-,-,-,-
1827312,Em preenchimento,-,-,11/07/2025 12:12,11/07/2025 12:13,-,0.0 dias,-,-,-,-
1827312,Concluído,-,-,11/07/2025 12:13,-,-,-,-,-,-,-
1769969,Em preenchimento,-,-,11/06/2025 11:47,11/06/2025 11:48,-,0.0 dias,-,-,-,-
1769969,Aguardando Atendimento,-,-,11/06/2025 11:48,11/06/2025 14:46,-,0.12 dias,-,-,-,-
1769969,Concluído,atendimento@penetron.com.br,-,11/06/2025 14:46,-,-,-,-,-,-,-
1303026,Em preenchimento,-,-,11/11/2024 14:47,11/11/2024 14:48,-,0.0 dias,-,-,-,-
1303026,Concluído,-,-,11/11/2024 14:48,-,-,-,-,-,-,-
1704432,Em preenchimento,-,-,07/05/2025 09:33,07/05/2025 12:56,-,0.14 dias,-,-,-,-
1704432,Concluído,atendimento@penetron.com.br,-,07/05/2025 12:56,-,-,-,-,-,-,-
1843701,Em preenchimento,-,-,18/07/2025 16:42,19/07/2025 16:43,-,1.0 dias,-,-,-,-
1843701,Concluído,-,-,19/07/2025 16:43,-,-,-,-,-,-,-
1303032,Em preenchimento,-,-,11/11/2024 14:49,12/11/2024 14:49,-,1.0 dias,-,-,-,-
1303032,Concluído,-,-,12/11/2024 14:49,-,-,-,-,-,-,-
1786361,Em preenchimento,-,-,20/06/2025 14:04,20/06/2025 14:05,-,0.0 dias,-,-,-,-
1786361,Aguardando Atendimento,-,-,20/06/2025 14:05,20/06/2025 14:41,-,0.02 dias,-,-,-,-
1786361,Concluído,atendimento@penetron.com.br,-,20/06/2025 14:41,-,-,-,-,-,-,-
1688063,Em preenchimento,-,-,30/04/2025 11:48,30/04/2025 11:49,-,0.0 dias,-,-,-,-
1688063,Concluído,-,-,30/04/2025 11:49,-,-,-,-,-,-,-
1688072,Em preenchimento,-,-,30/04/2025 11:50,30/04/2025 14:04,-,0.09 dias,-,-,-,-
1688072,Concluído,atendimento@penetron.com.br,-,30/04/2025 14:04,-,-,-,-,-,-,-
1507853,Em preenchimento,-,-,13/02/2025 11:20,13/02/2025 11:23,-,0.0 dias,-,-,-,-
1507853,Aguardando Atendimento,-,-,13/02/2025 11:23,13/02/2025 11:33,-,0.01 dias,-,-,-,-
1507853,Concluído,atendimento@penetron.com.br,-,13/02/2025 11:33,-,-,-,-,-,-,-
1524245,Em preenchimento,-,-,25/02/2025 09:02,25/02/2025 09:59,-,0.04 dias,-,-,-,-
1524245,Concluído,atendimento@penetron.com.br,-,25/02/2025 09:59,-,-,-,-,-,-,-
1851926,Em preenchimento,-,-,23/07/2025 14:21,23/07/2025 14:23,-,0.0 dias,-,-,-,-
1851926,Aguardando Atendimento,-,-,23/07/2025 14:23,23/07/2025 16:39,-,0.09 dias,-,-,-,-
1851926,Concluído,atendimento@penetron.com.br,-,23/07/2025 16:39,-,-,-,-,-,-,-
1819158,Em preenchimento,-,-,07/07/2025 14:24,07/07/2025 14:52,-,0.02 dias,-,-,-,-
