ID da Ordem,Etapa,Código do Status,Modificado por,SLA,Data do Evento,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1883569,Vendedor - Nova Encomenda,1,-,-,2025-08-13 11:17:56,13/08/2025 11:17,13/08/2025 17:32,-,0.26 dias,-,-,-,-
1883569,Entregas Finalizadas Manaus,6,-,-,2025-08-13 17:32:40,13/08/2025 17:32,-,-,-,-,-,-,-
1883487,Vendedor - Nova Encomenda,1,-,-,2025-08-13 10:47:37,13/08/2025 10:47,13/08/2025 15:58,-,0.22 dias,-,-,-,-
1883487,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 15:58:46,13/08/2025 15:58,13/08/2025 19:49,13/08/2025 15:58,0.16 dias,0.04 dias,Atrasado,230.89,61.22
1883487,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 19:49:39,13/08/2025 19:49,-,-,-,-,-,-,-
1883285,Vendedor - Nova Encomenda,1,-,-,2025-08-13 10:18:36,13/08/2025 10:18,13/08/2025 11:41,-,0.06 dias,-,-,-,-
1883285,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 11:41:54,13/08/2025 11:41,13/08/2025 14:21,13/08/2025 11:41,0.11 dias,0.11 dias,Atrasado,159.61,159.6
1883285,Entregas Finalizadas Manaus,6,-,-,2025-08-13 14:21:30,13/08/2025 14:21,-,-,-,-,-,-,-
1883268,Vendedor - Nova Encomenda,1,-,-,2025-08-13 10:11:18,13/08/2025 10:11,-,-,-,-,-,-,-
1883157,Vendedor - Nova Encomenda,1,-,-,2025-08-13 09:45:48,13/08/2025 09:45,13/08/2025 11:37,-,0.08 dias,-,-,-,-
1883157,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 11:37:15,13/08/2025 11:37,13/08/2025 20:38,13/08/2025 11:37,0.38 dias,0.22 dias,Atrasado,541.52,322.73
1883157,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 20:38:46,13/08/2025 20:38,-,-,-,-,-,-,-
1883019,Vendedor - Nova Encomenda,1,-,-,2025-08-13 08:35:26,13/08/2025 08:35,13/08/2025 19:52,-,0.47 dias,-,-,-,-
1883019,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 19:52:38,13/08/2025 19:52,-,-,-,-,-,-,-
1882886,Vendedor - Nova Encomenda,1,-,-,2025-08-12 18:43:28,12/08/2025 18:43,13/08/2025 16:00,-,0.89 dias,-,-,-,-
1882886,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 16:00:51,13/08/2025 16:00,-,13/08/2025 16:00,-,-,-,-,-
1882882,Vendedor - Nova Encomenda,1,-,-,2025-08-12 18:38:30,12/08/2025 18:38,-,-,-,-,-,-,-
1882878,Vendedor - Nova Encomenda,1,-,-,2025-08-12 18:34:56,12/08/2025 18:34,-,-,-,-,-,-,-
1882839,Vendedor - Nova Encomenda,1,-,-,2025-08-12 17:57:32,12/08/2025 17:57,13/08/2025 11:40,-,0.74 dias,-,-,-,-
1882839,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 11:40:49,13/08/2025 11:40,13/08/2025 13:11,13/08/2025 11:40,0.06 dias,0.06 dias,Atrasado,90.68,90.67
1882839,Entregas Finalizadas Manaus,6,-,-,2025-08-13 13:11:29,13/08/2025 13:11,-,-,-,-,-,-,-
1882824,Vendedor - Nova Encomenda,1,-,-,2025-08-12 17:51:53,12/08/2025 17:51,13/08/2025 11:39,-,0.74 dias,-,-,-,-
1882824,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 11:39:56,13/08/2025 11:39,-,13/08/2025 11:39,-,-,-,-,-
1882801,Vendedor - Nova Encomenda,1,-,-,2025-08-12 17:36:07,12/08/2025 17:36,13/08/2025 11:39,-,0.75 dias,-,-,-,-
1882801,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 11:39:10,13/08/2025 11:39,-,13/08/2025 11:39,-,-,-,-,-
1882778,Vendedor - Nova Encomenda,1,-,-,2025-08-12 17:12:25,12/08/2025 17:12,-,-,-,-,-,-,-
1882739,Vendedor - Nova Encomenda,1,-,-,2025-08-12 16:53:38,12/08/2025 16:53,13/08/2025 10:18,-,0.73 dias,-,-,-,-
1882739,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 10:18:55,13/08/2025 10:18,-,13/08/2025 10:18,-,-,-,-,-
1882618,Entregas Finalizadas Manaus,6,-,-,2025-08-12 16:57:23,12/08/2025 16:57,-,-,-,-,-,-,-
1882613,Vendedor - Nova Encomenda,1,-,-,2025-08-12 15:45:06,12/08/2025 15:45,-,-,-,-,-,-,-
1882580,Entregas Pendente - Retorno para Logística,4,-,-,2025-08-12 17:11:23,12/08/2025 17:11,13/08/2025 15:41,-,0.94 dias,-,-,-,-
1882580,Entregas Finalizadas Manaus,6,-,-,2025-08-13 15:41:56,13/08/2025 15:41,-,-,-,-,-,-,-
1882557,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 17:53:16,12/08/2025 17:53,-,-,-,-,-,-,-
1882555,Entregas Finalizadas Manaus,6,-,-,2025-08-12 17:23:38,12/08/2025 17:23,-,-,-,-,-,-,-
1882532,Entregas Finalizadas Manaus,6,-,-,2025-08-12 18:01:20,12/08/2025 18:01,-,-,-,-,-,-,-
1882334,Vendedor - Nova Encomenda,1,-,-,2025-08-12 15:05:52,12/08/2025 15:05,13/08/2025 10:20,-,0.8 dias,-,-,-,-
1882334,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 10:20:43,13/08/2025 10:20,13/08/2025 19:57,13/08/2025 10:20,0.4 dias,0.28 dias,Atrasado,577.27,399.27
1882334,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 19:57:59,13/08/2025 19:57,-,-,-,-,-,-,-
1882018,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 17:59:11,12/08/2025 17:59,-,-,-,-,-,-,-
1881929,Vendedor - Nova Encomenda,1,-,-,2025-08-12 14:35:58,12/08/2025 14:35,13/08/2025 11:38,-,0.88 dias,-,-,-,-
1881929,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 11:38:19,13/08/2025 11:38,-,13/08/2025 11:38,-,-,-,-,-
1881831,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-12 15:24:04,12/08/2025 15:24,-,12/08/2025 15:24,-,-,-,-,-
1881572,Entregas Finalizadas Manaus,6,-,-,2025-08-12 17:34:22,12/08/2025 17:34,-,-,-,-,-,-,-
1881438,Vendedor - Nova Encomenda,1,-,-,2025-08-12 13:41:42,12/08/2025 13:41,-,-,-,-,-,-,-
1881286,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-12 15:25:14,12/08/2025 15:25,-,12/08/2025 15:25,-,-,-,-,-
1881102,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 16:11:12,12/08/2025 16:11,-,-,-,-,-,-,-
1880618,Entregas Finalizadas Manaus,6,-,-,2025-08-12 14:20:08,12/08/2025 14:20,-,-,-,-,-,-,-
1880238,Entregas Finalizadas Manaus,6,-,-,2025-08-12 17:48:38,12/08/2025 17:48,-,-,-,-,-,-,-
1880224,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 17:57:24,12/08/2025 17:57,-,-,-,-,-,-,-
1880172,Entregas Finalizadas Manaus,6,-,-,2025-08-12 17:35:18,12/08/2025 17:35,-,-,-,-,-,-,-
1880171,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-12 16:39:21,12/08/2025 16:39,13/08/2025 14:02,12/08/2025 16:39,0.89 dias,0.27 dias,Atrasado,1282.7,382.7
1880171,Entregas Finalizadas Manaus,6,-,-,2025-08-13 14:02:04,13/08/2025 14:02,-,-,-,-,-,-,-
1880145,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 13:54:23,12/08/2025 13:54,-,-,-,-,-,-,-
1880034,Vendedor - Nova Encomenda,1,-,-,2025-08-12 10:19:35,12/08/2025 10:19,13/08/2025 10:19,-,1.0 dias,-,-,-,-
1880034,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-13 10:19:53,13/08/2025 10:19,-,13/08/2025 10:19,-,-,-,-,-
1879966,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-12 11:42:40,12/08/2025 11:42,13/08/2025 12:36,12/08/2025 11:42,1.04 dias,0.41 dias,Atrasado,1494.23,594.22
1879966,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 12:36:54,13/08/2025 12:36,-,-,-,-,-,-,-
1879954,Entregas Finalizadas Manaus,6,-,-,2025-08-12 18:24:20,12/08/2025 18:24,-,-,-,-,-,-,-
1879945,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 10:19:52,12/08/2025 10:19,-,-,-,-,-,-,-
1879936,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-12 11:46:03,12/08/2025 11:46,13/08/2025 20:40,12/08/2025 11:46,1.37 dias,0.59 dias,Atrasado,1974.28,853.93
1879936,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-13 20:40:20,13/08/2025 20:40,-,-,-,-,-,-,-
1879918,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 18:07:14,12/08/2025 18:07,-,-,-,-,-,-,-
1879909,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 17:15:04,12/08/2025 17:15,-,-,-,-,-,-,-
1879891,Vendedor - Nova Encomenda,1,-,-,2025-08-12 09:17:33,12/08/2025 09:17,-,-,-,-,-,-,-
1879683,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 13:35:47,12/08/2025 13:35,-,-,-,-,-,-,-
1879679,Vendedor - Nova Encomenda,1,-,-,2025-08-11 22:06:56,11/08/2025 22:06,-,-,-,-,-,-,-
1879570,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 13:41:14,12/08/2025 13:41,-,-,-,-,-,-,-
1879562,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 17:42:12,12/08/2025 17:42,-,-,-,-,-,-,-
1879560,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 17:08:26,12/08/2025 17:08,-,-,-,-,-,-,-
1879558,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 18:25:19,12/08/2025 18:25,-,-,-,-,-,-,-
1879515,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 18:08:58,12/08/2025 18:08,-,-,-,-,-,-,-
1879476,Vendedor - Nova Encomenda,1,-,-,2025-08-11 17:19:34,11/08/2025 17:19,-,-,-,-,-,-,-
1879472,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 17:21:57,12/08/2025 17:21,-,-,-,-,-,-,-
1879296,Vendedor - Nova Encomenda,1,-,-,2025-08-11 16:09:36,11/08/2025 16:09,-,-,-,-,-,-,-
1879169,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-11 17:09:07,11/08/2025 17:09,-,11/08/2025 17:09,-,-,-,-,-
1878935,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 21:58:43,11/08/2025 21:58,-,-,-,-,-,-,-
1878616,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:10:02,11/08/2025 22:10,-,-,-,-,-,-,-
1878615,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-11 16:14:57,11/08/2025 16:14,-,11/08/2025 16:14,-,-,-,-,-
1878612,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 16:58:02,11/08/2025 16:58,-,-,-,-,-,-,-
1878584,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:15:56,11/08/2025 22:15,-,-,-,-,-,-,-
1878565,Entregas Finalizadas Manaus,6,-,-,2025-08-11 13:48:23,11/08/2025 13:48,-,-,-,-,-,-,-
1878559,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-11 16:15:37,11/08/2025 16:15,-,11/08/2025 16:15,-,-,-,-,-
1878363,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:18:00,11/08/2025 22:18,-,-,-,-,-,-,-
1878209,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 12:23:39,12/08/2025 12:23,-,-,-,-,-,-,-
1878126,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:06:17,11/08/2025 22:06,-,-,-,-,-,-,-
1878033,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:01:11,11/08/2025 22:01,-,-,-,-,-,-,-
1878029,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:12:32,11/08/2025 22:12,-,-,-,-,-,-,-
1878015,Vendedor - Nova Encomenda,1,-,-,2025-08-11 12:09:39,11/08/2025 12:09,-,-,-,-,-,-,-
1877927,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 15:03:58,11/08/2025 15:03,-,-,-,-,-,-,-
1877825,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 21:52:03,11/08/2025 21:52,-,-,-,-,-,-,-
1877672,Entregas Finalizadas Manaus,6,-,-,2025-08-11 17:49:19,11/08/2025 17:49,-,-,-,-,-,-,-
1877608,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 13:21:17,11/08/2025 13:21,-,-,-,-,-,-,-
1877110,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:23:20,11/08/2025 22:23,-,-,-,-,-,-,-
1876921,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 13:38:48,11/08/2025 13:38,-,-,-,-,-,-,-
1876750,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 17:05:21,11/08/2025 17:05,-,-,-,-,-,-,-
1876666,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 17:14:31,11/08/2025 17:14,-,-,-,-,-,-,-
1876659,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 17:23:32,11/08/2025 17:23,-,-,-,-,-,-,-
1876643,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 16:53:43,11/08/2025 16:53,-,-,-,-,-,-,-
1876638,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:20:53,11/08/2025 22:20,-,-,-,-,-,-,-
1876563,Entregas Finalizadas Manaus,6,-,-,2025-08-11 12:53:31,11/08/2025 12:53,-,-,-,-,-,-,-
1876412,Vendedor - Nova Encomenda,1,-,-,2025-08-11 09:15:50,11/08/2025 09:15,-,-,-,-,-,-,-
1876389,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 18:06:10,12/08/2025 18:06,-,-,-,-,-,-,-
1875908,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 15:08:10,11/08/2025 15:08,-,-,-,-,-,-,-
1875821,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:29:49,11/08/2025 22:29,-,-,-,-,-,-,-
1875813,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:33:32,11/08/2025 22:33,-,-,-,-,-,-,-
1875803,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 17:17:39,11/08/2025 17:17,-,-,-,-,-,-,-
1875766,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:35:59,11/08/2025 22:35,-,-,-,-,-,-,-
1875760,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 17:19:27,11/08/2025 17:19,-,-,-,-,-,-,-
1875750,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 22:25:38,11/08/2025 22:25,-,-,-,-,-,-,-
1875746,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-09 12:37:08,09/08/2025 12:37,-,-,-,-,-,-,-
1875729,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-09 13:09:31,09/08/2025 13:09,-,-,-,-,-,-,-
1875724,Entregas Finalizadas Manaus,6,-,-,2025-08-09 13:47:40,09/08/2025 13:47,-,-,-,-,-,-,-
1875721,Entregas Finalizadas Manaus,6,-,-,2025-08-09 14:12:03,09/08/2025 14:12,-,-,-,-,-,-,-
1875714,Entregas Finalizadas Manaus,6,-,-,2025-08-09 12:35:40,09/08/2025 12:35,-,-,-,-,-,-,-
1875712,Entregas Finalizadas Manaus,6,-,-,2025-08-09 16:13:23,09/08/2025 16:13,-,-,-,-,-,-,-
1875624,Vendedor - Nova Encomenda,1,-,-,2025-08-08 21:26:22,08/08/2025 21:26,-,-,-,-,-,-,-
1875581,Entregas Finalizadas Manaus,6,-,-,2025-08-09 16:12:46,09/08/2025 16:12,-,-,-,-,-,-,-
1875549,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-09 12:54:30,09/08/2025 12:54,-,-,-,-,-,-,-
1875542,Entregas Finalizadas Manaus,6,-,-,2025-08-09 16:26:39,09/08/2025 16:26,-,-,-,-,-,-,-
1875505,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 13:28:03,11/08/2025 13:28,-,-,-,-,-,-,-
1875499,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-09 13:07:57,09/08/2025 13:07,-,-,-,-,-,-,-
1875440,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-09 12:17:02,09/08/2025 12:17,-,-,-,-,-,-,-
1875438,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-12 17:31:57,12/08/2025 17:31,-,-,-,-,-,-,-
1875415,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-09 13:01:59,09/08/2025 13:01,-,-,-,-,-,-,-
1875271,Vendedor - Nova Encomenda,1,-,-,2025-08-08 15:52:49,08/08/2025 15:52,-,-,-,-,-,-,-
1875243,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-08 17:03:19,08/08/2025 17:03,-,-,-,-,-,-,-
1875221,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-09 10:16:27,09/08/2025 10:16,-,-,-,-,-,-,-
1875215,Vendedor - Nova Encomenda,1,-,-,2025-08-08 15:29:03,08/08/2025 15:29,-,-,-,-,-,-,-
1875207,Vendedor - Nova Encomenda,1,-,-,2025-08-08 15:22:43,08/08/2025 15:22,-,-,-,-,-,-,-
1875168,Entregas Finalizadas Manaus,6,-,-,2025-08-08 17:38:46,08/08/2025 17:38,-,-,-,-,-,-,-
1875130,Entregas Finalizadas Manaus,6,-,-,2025-08-08 19:45:49,08/08/2025 19:45,-,-,-,-,-,-,-
1875113,Entregas Finalizadas Manaus,6,-,-,2025-08-08 19:17:35,08/08/2025 19:17,-,-,-,-,-,-,-
1875098,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-08 19:59:38,08/08/2025 19:59,-,-,-,-,-,-,-
1875020,Entregas Finalizadas Manaus,6,-,-,2025-08-08 21:25:12,08/08/2025 21:25,-,-,-,-,-,-,-
1875004,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-08 20:04:18,08/08/2025 20:04,-,-,-,-,-,-,-
1874981,Entregas Finalizadas Manaus,6,-,-,2025-08-08 18:14:09,08/08/2025 18:14,-,-,-,-,-,-,-
1874930,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-08 17:41:11,08/08/2025 17:41,-,-,-,-,-,-,-
1874922,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-08 17:06:35,08/08/2025 17:06,-,-,-,-,-,-,-
1874864,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-08 17:13:05,08/08/2025 17:13,-,-,-,-,-,-,-
1874848,Entregas Finalizadas Manaus,6,-,-,2025-08-08 17:50:15,08/08/2025 17:50,-,-,-,-,-,-,-
1874828,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-08 18:37:17,08/08/2025 18:37,-,-,-,-,-,-,-
1874823,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-08 20:06:09,08/08/2025 20:06,-,-,-,-,-,-,-
1874806,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-09 13:12:34,09/08/2025 13:12,-,-,-,-,-,-,-
1874800,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 16:33:42,08/08/2025 16:33,-,08/08/2025 16:33,-,-,-,-,-
1874727,Entregas Finalizadas Manaus,6,-,-,2025-08-08 18:11:46,08/08/2025 18:11,-,-,-,-,-,-,-
1874718,Entregas Finalizadas Fora de Manaus,8,-,-,2025-08-11 17:21:48,11/08/2025 17:21,-,-,-,-,-,-,-
