ID da Ordem,Etapa,Modificado por,SLA,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1638405,Viabilidade,-,-,09/04/2025 14:34,09/04/2025 14:34,-,0.0 dias,-,-,-,-
1638405,Cancelamento em Andamento,fabiano.uoya@nava.com.br,-,09/04/2025 14:34,-,-,-,-,-,-,-
1835027,Viabilidade,-,-,16/07/2025 12:27,16/07/2025 12:27,-,0.0 dias,-,-,-,-
1835027,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 12:27,-,-,-,-,-,-,-
1835028,Viabilidade,-,-,16/07/2025 12:27,16/07/2025 12:27,-,0.0 dias,-,-,-,-
1835028,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 12:27,-,-,-,-,-,-,-
1835029,Viabilidade,-,-,16/07/2025 12:27,16/07/2025 12:27,-,0.0 dias,-,-,-,-
1835029,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 12:27,-,-,-,-,-,-,-
1835030,Viabilidade,-,-,16/07/2025 12:27,16/07/2025 12:27,-,0.0 dias,-,-,-,-
1835030,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 12:27,-,-,-,-,-,-,-
1835031,Viabilidade,-,-,16/07/2025 12:27,16/07/2025 12:27,-,0.0 dias,-,-,-,-
1835031,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 12:27,-,-,-,-,-,-,-
1835032,Viabilidade,-,-,16/07/2025 12:27,16/07/2025 12:27,-,0.0 dias,-,-,-,-
1835032,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 12:27,-,-,-,-,-,-,-
1409048,Viabilidade,-,-,03/01/2025 10:39,03/01/2025 10:45,-,0.0 dias,-,-,-,-
1409048,Solicitação de Contratação,fabiano.uoya@nava.com.br,-,03/01/2025 10:45,03/01/2025 13:17,-,0.11 dias,-,-,-,-
1409048,Suprimentos,fabiano.uoya@nava.com.br,-,03/01/2025 13:17,17/01/2025 09:21,-,13.84 dias,-,-,-,-
1409048,Implantação,nicolly.barbosa@nava.com.br,-,17/01/2025 09:21,17/01/2025 09:44,-,0.02 dias,-,-,-,-
1409048,Solicitação de Contratação,nicolly.barbosa@nava.com.br,-,17/01/2025 09:44,17/01/2025 09:47,-,0.0 dias,-,-,-,-
1409048,Suprimentos,nicolly.barbosa@nava.com.br,-,17/01/2025 09:47,28/01/2025 14:19,-,11.19 dias,-,-,-,-
1409048,Implantação,nicolly.barbosa@nava.com.br,-,28/01/2025 14:19,06/02/2025 13:36,-,8.97 dias,-,-,-,-
1409048,Encerrados (Ativos e Cancelados),celiene.pinho@nava.com.br,-,06/02/2025 13:36,-,-,-,-,-,-,-
1835104,Viabilidade,-,-,16/07/2025 13:14,16/07/2025 13:14,-,0.0 dias,-,-,-,-
1835104,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 13:14,-,-,-,-,-,-,-
1835105,Viabilidade,-,-,16/07/2025 13:14,16/07/2025 13:14,-,0.0 dias,-,-,-,-
1835105,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 13:14,-,-,-,-,-,-,-
1835106,Viabilidade,-,-,16/07/2025 13:14,16/07/2025 13:14,-,0.0 dias,-,-,-,-
1835106,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 13:14,-,-,-,-,-,-,-
1835107,Viabilidade,-,-,16/07/2025 13:14,16/07/2025 13:14,-,0.0 dias,-,-,-,-
1835107,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 13:14,-,-,-,-,-,-,-
1835108,Viabilidade,-,-,16/07/2025 13:14,16/07/2025 13:14,-,0.0 dias,-,-,-,-
1835108,Cancelamento em Andamento,integracao-planilha-orion,-,16/07/2025 13:14,-,-,-,-,-,-,-
1835109,Viabilidade,-,-,16/07/2025 13:14,16/07/2025 13:14,-,0.0 dias,-,-,-,-
