ID da Ordem,Etapa,Modificado por,SLA,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1586146,Análise,-,-,26/03/2025 17:50,26/03/2025 17:50,-,0.0 dias,-,-,-,-
1586146,Aprovação B2,fernanda.alvarez@nava.com.br,-,26/03/2025 17:50,04/06/2025 16:49,-,69.96 dias,-,-,-,-
1586146,Escopo,admin-ale,-,04/06/2025 16:49,07/08/2025 17:19,-,64.02 dias,-,-,-,-
1586146,Aprovação B2,admin-ale,-,07/08/2025 17:19,07/08/2025 17:32,-,0.01 dias,-,-,-,-
1586146,Escopo,admin-ale,-,07/08/2025 17:32,07/08/2025 17:33,-,0.0 dias,-,-,-,-
1586146,Análise,admin-ale,-,07/08/2025 17:33,07/08/2025 22:01,-,0.19 dias,-,-,-,-
1586146,Aprovação B2,admin-ale,-,07/08/2025 22:01,07/08/2025 22:48,-,0.03 dias,-,-,-,-
1586146,Refinamento,admin-ale,-,07/08/2025 22:48,08/08/2025 00:21,-,0.06 dias,-,-,-,-
1586146,Aprovação B2,admin-ale,-,08/08/2025 00:21,08/08/2025 00:42,-,0.01 dias,-,-,-,-
1586146,Escopo,admin-ale,-,08/08/2025 00:42,-,-,-,-,-,-,-
1599517,Análise,-,-,31/03/2025 14:29,31/03/2025 14:38,-,0.01 dias,-,-,-,-
1599517,A Fazer,julio.camargo@nava.com.br,-,31/03/2025 14:38,14/04/2025 15:24,-,14.03 dias,-,-,-,-
1599517,Cancelado,julio.camargo@nava.com.br,-,14/04/2025 15:24,-,-,-,-,-,-,-
1557540,Análise,-,-,13/03/2025 17:14,13/03/2025 17:14,-,0.0 dias,-,-,-,-
1557540,Em Progresso,fernanda.alvarez@nava.com.br,-,13/03/2025 17:14,17/03/2025 16:56,-,3.99 dias,-,-,-,-
1557540,Concluído,julio.camargo@nava.com.br,-,17/03/2025 16:56,-,-,-,-,-,-,-
1647658,Análise,-,-,14/04/2025 10:37,14/04/2025 10:37,-,0.0 dias,-,-,-,-
1647658,Em Progresso,admin-ale,-,14/04/2025 10:37,22/04/2025 15:30,-,8.2 dias,-,-,-,-
1647658,Em Teste,admin-ale,-,22/04/2025 15:30,23/05/2025 15:46,-,31.01 dias,-,-,-,-
1647658,Concluído,julio.camargo@nava.com.br,-,23/05/2025 15:46,-,-,-,-,-,-,-
